,timestamp,turbine_id,sensor,rpm,kw,measurement,dF,fft.tracked.HSS1_28Hz.max,fft.tracked.HSS2_56Hz.max,fft.tracked.HSS3_84Hz.max,fft.tracked.random1_40Hz.max,fft.tracked.random2_80Hz.max
37,2016-01-20 14:58:01,T001,SENSOR 2,1680,1639,fft_100,0.125,0.20872174,0.1908313,0.21468522,0.17890435,0.13716
38,2016-01-20 14:58:01,T001,SENSOR 2,1680,1639,fft_400,0.5,0.092433915,0.06858,0.08050696,0.10734261,0.08945218
39,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_4000,1.25,0.07156174,0.041744348,0.032799132,0.04472609,0.03578087
40,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_100,0.125,0.083488695,0.07752521,0.110324346,0.08945218,0.059634782
41,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_400,0.5,0.08647043,0.047707826,0.08945218,0.059634782,0.08945218
42,2016-01-20 16:02:05,T001,SENSOR 2,1684,1359,fft_4000,1.25,0.074543476,0.06261652,0.029817391,0.041744348,0.041744348
43,2016-01-20 16:02:05,T001,SENSOR 2,1684,1359,fft_100,0.125,0.15803218,0.14014174,0.13716,0.13119653,0.13716
44,2016-01-20 16:02:05,T001,SENSOR 2,1684,1359,fft_400,0.5,0.053671304,0.07156174,0.056653045,0.047707826,0.059634782
45,2016-01-20 16:40:04,T001,SENSOR 2,1688,1502,fft_4000,1.25,0.09541565,0.041744348,0.032799132,0.04472609,0.03578087
46,2016-01-20 16:40:04,T001,SENSOR 2,1688,1502,fft_100,0.125,0.14908695,0.14908695,0.09839739,0.1222513,0.10137913
47,2016-01-20 16:40:04,T001,SENSOR 2,1688,1502,fft_400,0.5,0.09839739,0.074543476,0.047707826,0.08050696,0.065598264
48,2016-01-20 23:40:02,T001,SENSOR 2,1681,1508,fft_4000,1.25,0.083488695,0.050689563,0.041744348,0.041744348,0.03578087
49,2016-01-20 23:40:02,T001,SENSOR 2,1681,1508,fft_100,0.125,0.12523304,0.13119653,0.09541565,0.1222513,0.16101392
50,2016-01-20 23:40:02,T001,SENSOR 2,1681,1508,fft_400,0.5,0.065598264,0.047707826,0.08945218,0.06858,0.050689563
51,2016-01-21 03:27:02,T001,SENSOR 2,1686,1498,fft_4000,1.25,0.065598264,0.04472609,0.03578087,0.04472609,0.041744348
52,2016-01-21 03:27:02,T001,SENSOR 2,1686,1498,fft_100,0.125,0.119269565,0.11330609,0.13417827,0.11330609,0.1222513
53,2016-01-21 03:27:02,T001,SENSOR 2,1686,1498,fft_400,0.5,0.059634782,0.06858,0.053671304,0.053671304,0.065598264
54,2016-01-21 04:26:00,T001,SENSOR 2,1678,1425,fft_4000,1.25,0.08050696,0.041744348,0.041744348,0.04472609,0.041744348
55,2016-01-21 04:26:00,T001,SENSOR 2,1678,1425,fft_100,0.125,0.14312348,0.13417827,0.14014174,0.20275825,0.14312348
56,2016-01-21 04:26:00,T001,SENSOR 2,1678,1425,fft_400,0.5,0.09839739,0.083488695,0.038762607,0.065598264,0.047707826
57,2016-01-14 17:20:04,T001,SENSOR 4,1672,1645,fft_4000,1.25,0.11955734,0.10760161,0.071734406,0.071734406,0.06575654
58,2016-01-14 17:20:04,T001,SENSOR 4,1672,1645,fft_100,0.125,0.14944668,0.17335814,0.18531388,0.18531388,0.14346881
59,2016-01-14 17:20:04,T001,SENSOR 4,1672,1645,fft_400,0.5,0.15542455,0.089668006,0.089668006,0.095645875,0.089668006
60,2016-01-14 18:29:01,T001,SENSOR 4,1676,1476,fft_4000,1.25,0.1255352,0.08369014,0.05977867,0.089668006,0.071734406
61,2016-01-14 18:29:01,T001,SENSOR 4,1676,1476,fft_100,0.125,0.20324749,0.20324749,0.14944668,0.14346881,0.17335814
62,2016-01-14 18:29:01,T001,SENSOR 4,1676,1476,fft_400,0.5,0.095645875,0.113579474,0.1255352,0.10760161,0.10760161
63,2016-01-14 18:38:03,T001,SENSOR 4,1690,1462,fft_4000,1.25,0.11955734,0.071734406,0.05977867,0.089668006,0.071734406
64,2016-01-14 18:38:03,T001,SENSOR 4,1690,1462,fft_100,0.125,0.19129175,0.15542455,0.17933601,0.18531388,0.17933601
65,2016-01-14 18:38:03,T001,SENSOR 4,1690,1462,fft_400,0.5,0.15542455,0.077712275,0.095645875,0.095645875,0.1255352
66,2016-01-15 17:50:05,T001,SENSOR 4,1673,1450,fft_4000,1.25,0.113579474,0.095645875,0.071734406,0.08369014,0.06575654
67,2016-01-15 17:50:05,T001,SENSOR 4,1673,1450,fft_100,0.125,0.15542455,0.13151307,0.19129175,0.15542455,0.14944668
68,2016-01-15 17:50:05,T001,SENSOR 4,1673,1450,fft_400,0.5,0.13749094,0.113579474,0.095645875,0.10760161,0.089668006
69,2016-01-15 18:16:02,T001,SENSOR 4,1672,1577,fft_4000,1.25,0.11955734,0.10760161,0.071734406,0.08369014,0.071734406
