,timestamp,turbine_id,sensor,rpm,kw,measurement,dF,site,fft.tracked.HSS1_28Hz.max,fft.tracked.HSS2_56Hz.max,fft.tracked.HSS3_84Hz.max,fft.tracked.HSS1_28Hz.sum,fft.tracked.HSS2_56Hz.sum,fft.tracked.HSS3_84Hz.sum,fft.tracked.random1_40Hz.max,fft.tracked.random2_80Hz.max,fft.tracked.F1011_101Hz.max
24,2016-01-19 20:57:03,T001,SENSOR 2,1684,1473,fft_4000,1.25,Carland Cross RP,0.08945218,0.053671304,0.041744348,0.2206487,0.16697739,0.14908697,0.04472609,0.03578087,0.03578087
25,2016-01-19 20:57:03,T001,SENSOR 2,1684,1473,fft_100,0.125,Carland Cross RP,0.14312348,0.11330609,0.14312348,3.1308262,2.573241,2.6328754,0.13716,0.14312348,0.083488695
26,2016-01-19 20:57:03,T001,SENSOR 2,1684,1473,fft_400,0.5,Carland Cross RP,0.065598264,0.04472609,0.047707826,0.42937043,0.30413744,0.3190461,0.06261652,0.06858,0.053671304
27,2016-01-19 21:51:00,T001,SENSOR 2,1680,1381,fft_4000,1.25,Carland Cross RP,0.083488695,0.041744348,0.03578087,0.22959392,0.18784958,0.16101393,0.04472609,0.03578087,0.03578087
28,2016-01-19 21:51:00,T001,SENSOR 2,1680,1381,fft_100,0.125,Carland Cross RP,0.10137913,0.092433915,0.12523304,2.117035,2.0305643,2.4271357,0.10137913,0.12523304,0.07156174
29,2016-01-19 21:51:00,T001,SENSOR 2,1680,1381,fft_400,0.5,Carland Cross RP,0.07752521,0.06858,0.06858,0.44726086,0.4711148,0.4323522,0.07156174,0.074543476,0.06858
30,2016-01-19 22:43:03,T001,SENSOR 2,1684,1380,fft_4000,1.25,Carland Cross RP,0.07752521,0.047707826,0.03578087,0.25344783,0.16697739,0.14312348,0.04472609,0.03578087,0.065598264
31,2016-01-19 22:43:03,T001,SENSOR 2,1684,1380,fft_100,0.125,Carland Cross RP,0.12523304,0.10436087,0.15505043,2.6120033,2.2661216,2.7402184,0.15206869,0.15505043,0.110324346
32,2016-01-19 22:43:03,T001,SENSOR 2,1684,1380,fft_400,0.5,Carland Cross RP,0.053671304,0.059634782,0.074543476,0.42340693,0.35184523,0.45620605,0.06858,0.047707826,0.07156174
33,2016-01-20 09:41:03,T001,SENSOR 2,1682,1444,fft_4000,1.25,Carland Cross RP,0.07752521,0.04472609,0.03578087,0.26537478,0.15505043,0.15505043,0.04472609,0.03578087,0.050689563
34,2016-01-20 09:41:03,T001,SENSOR 2,1682,1444,fft_100,0.125,Carland Cross RP,0.119269565,0.15206869,0.13417827,2.4629166,2.8296704,2.8505425,0.110324346,0.14312348,0.13716
35,2016-01-20 09:41:03,T001,SENSOR 2,1682,1444,fft_400,0.5,Carland Cross RP,0.08945218,0.092433915,0.047707826,0.4412974,0.4621696,0.30115563,0.053671304,0.050689563,0.053671304
36,2016-01-20 14:58:01,T001,SENSOR 2,1680,1639,fft_4000,1.25,Carland Cross RP,0.07156174,0.041744348,0.041744348,0.21468522,0.16697739,0.16101392,0.04472609,0.041744348,0.053671304
37,2016-01-20 14:58:01,T001,SENSOR 2,1680,1639,fft_100,0.125,Carland Cross RP,0.20872174,0.1908313,0.21468522,5.1494627,3.578087,3.715247,0.17890435,0.13716,0.14908695
38,2016-01-20 14:58:01,T001,SENSOR 2,1680,1639,fft_400,0.5,Carland Cross RP,0.092433915,0.06858,0.08050696,0.61125654,0.48900524,0.52776784,0.10734261,0.08945218,0.047707826
39,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_4000,1.25,Carland Cross RP,0.07156174,0.041744348,0.032799132,0.23555738,0.1669774,0.13417827,0.04472609,0.03578087,0.059634782
40,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_100,0.125,Carland Cross RP,0.083488695,0.07752521,0.110324346,1.9351486,1.4849061,2.2124505,0.08945218,0.059634782,0.07156174
41,2016-01-20 15:40:00,T001,SENSOR 2,1684,1397,fft_400,0.5,Carland Cross RP,0.08647043,0.047707826,0.08945218,0.56056696,0.38762605,0.47707826,0.059634782,0.08945218,0.053671304
42,2016-01-20 16:02:05,T001,SENSOR 2,1684,1359,fft_4000,1.25,Carland Cross RP,0.074543476,0.06261652,0.029817391,0.21468523,0.19381304,0.12523304,0.041744348,0.041744348,0.047707826
